APMC,Commodity,year,Average Difference Raw,Average Difference Deseasonalised,district_name,state_name
jalgaon,pigeon pea (tur),2014,-650.0,-1200.0,jalgaon,maharashtra
jalgaon,pigeon pea (tur),2015,1536.5,1336.25,jalgaon,maharashtra
jalgaon,pigeon pea (tur),2016,2476.75,2395.25,jalgaon,maharashtra
dondaicha-sindkheda,ground nut pods (dry),2015,NO MSP,NO MSP,dhule,maharashtra
dondaicha-sindkheda,ground nut pods (dry),2016,NO MSP,NO MSP,dhule,maharashtra
buldhana,green gram,2014,NO MSP,NO MSP,buldhana,maharashtra
buldhana,green gram,2015,NO MSP,NO MSP,buldhana,maharashtra
buldhana,green gram,2016,NO MSP,NO MSP,buldhana,maharashtra
manchar,wal papdi,2014,NO MSP,NO MSP,pune,maharashtra
manchar,wal papdi,2015,NO MSP,NO MSP,pune,maharashtra
manchar,wal papdi,2016,NO MSP,NO MSP,pune,maharashtra
dondaicha-sindkheda,sorgum(jawar),2015,-239.0,-239.0,dhule,maharashtra
dondaicha-sindkheda,sorgum(jawar),2016,-48.545454545454504,-48.545454545454504,dhule,maharashtra
nandurbar,ground nut pods (dry),2014,NO MSP,NO MSP,nandurbar,maharashtra
nandurbar,ground nut pods (dry),2015,NO MSP,NO MSP,nandurbar,maharashtra
nandurbar,ground nut pods (dry),2016,NO MSP,NO MSP,nandurbar,maharashtra
akot,thymol/lovage,2015,NO MSP,NO MSP,akola,maharashtra
akot,thymol/lovage,2016,NO MSP,NO MSP,akola,maharashtra
ahmednagar,coriander (dry),2015,NO MSP,NO MSP,ahmadnagar,maharashtra
ahmednagar,coriander (dry),2016,NO MSP,NO MSP,ahmadnagar,maharashtra
hingna,pigeon pea (tur),2015,1026.833333333333,1026.833333333333,nagpur,maharashtra
hingna,pigeon pea (tur),2016,2358.333333333333,2358.333333333333,nagpur,maharashtra
nampur,onion,2016,NO MSP,NO MSP,nasik,maharashtra
solapur,wheat(unhusked),2014,1750.0,539.0,solapur,maharashtra
solapur,wheat(unhusked),2015,1585.0,1536.75,solapur,maharashtra
solapur,wheat(unhusked),2016,NO MSP,NO MSP,solapur,maharashtra
sangali,wheat(unhusked),2014,2374.5,1077.0,sangli,maharashtra
sangali,wheat(unhusked),2015,1443.6363636363635,1495.818181818182,sangli,maharashtra
sangali,wheat(unhusked),2016,NO MSP,NO MSP,sangli,maharashtra
shrigonda,onion,2015,NO MSP,NO MSP,ahmadnagar,maharashtra
shrigonda,onion,2016,NO MSP,NO MSP,ahmadnagar,maharashtra
karad,jaggery,2014,NO MSP,NO MSP,satara,maharashtra
karad,jaggery,2015,NO MSP,NO MSP,satara,maharashtra
karad,jaggery,2016,NO MSP,NO MSP,satara,maharashtra
mumbai,green gram,2014,NO MSP,NO MSP,mumbai,maharashtra
sindi,gram,2014,NO MSP,NO MSP,wardha,maharashtra
sindi,gram,2015,NO MSP,NO MSP,wardha,maharashtra
sindi,gram,2016,NO MSP,NO MSP,wardha,maharashtra
pune-pimpri,green chilli,2014,NO MSP,NO MSP,pune,maharashtra
pune-pimpri,green chilli,2015,NO MSP,NO MSP,pune,maharashtra
pune-pimpri,green chilli,2016,NO MSP,NO MSP,pune,maharashtra
lasalgaon-vinchur,wheat(husked),2015,-63.625,-193.875,nasik,maharashtra
lasalgaon-vinchur,wheat(husked),2016,NO MSP,NO MSP,nasik,maharashtra
palus,ladies finger,2015,NO MSP,NO MSP,sangli,maharashtra
palus,ladies finger,2016,NO MSP,NO MSP,sangli,maharashtra
parshiwani,pigeon pea (tur),2015,1725.0,936.0,nagpur,maharashtra
parshiwani,pigeon pea (tur),2016,2761.75,2083.25,nagpur,maharashtra
vaijapur,onion,2014,NO MSP,NO MSP,aurangabad,maharashtra
vaijapur,onion,2015,NO MSP,NO MSP,aurangabad,maharashtra
vaijapur,onion,2016,NO MSP,NO MSP,aurangabad,maharashtra
kalyan,spinach,2014,NO MSP,NO MSP,thane,maharashtra
kalyan,spinach,2015,NO MSP,NO MSP,thane,maharashtra
kalyan,spinach,2016,NO MSP,NO MSP,thane,maharashtra
indapur-bhigwan,pigeon pea (tur),2014,-1512.0,-2432.0,pune,maharashtra
indapur-bhigwan,pigeon pea (tur),2015,511.44444444444434,23.888888888888687,pune,maharashtra
indapur-bhigwan,pigeon pea (tur),2016,1092.333333333333,528.8888888888887,pune,maharashtra
anajngaon surji,soybean,2014,NO MSP,NO MSP,amaravathi,maharashtra
anajngaon surji,soybean,2015,NO MSP,NO MSP,amaravathi,maharashtra
anajngaon surji,soybean,2016,NO MSP,NO MSP,amaravathi,maharashtra
malkapur,pigeon pea (tur),2014,-315.75,-1700.0,buldhana,maharashtra
malkapur,pigeon pea (tur),2015,1120.916666666667,1007.666666666667,buldhana,maharashtra
malkapur,pigeon pea (tur),2016,2239.8888888888887,1283.8888888888887,buldhana,maharashtra
indapur-bhigwan,wheat(husked),2014,0.0,-506.0,pune,maharashtra
indapur-bhigwan,wheat(husked),2015,-51.66666666666674,-76.44444444444434,pune,maharashtra
indapur-bhigwan,wheat(husked),2016,NO MSP,NO MSP,pune,maharashtra
chopda,ground nut pods (dry),2014,NO MSP,NO MSP,jalgaon,maharashtra
chopda,ground nut pods (dry),2015,NO MSP,NO MSP,jalgaon,maharashtra
chopda,ground nut pods (dry),2016,NO MSP,NO MSP,jalgaon,maharashtra
ahmednagar,potato,2015,NO MSP,NO MSP,ahmadnagar,maharashtra
ahmednagar,potato,2016,NO MSP,NO MSP,ahmadnagar,maharashtra
digras,black gram,2014,NO MSP,NO MSP,yewatmal,maharashtra
digras,black gram,2015,NO MSP,NO MSP,yewatmal,maharashtra
digras,black gram,2016,NO MSP,NO MSP,yewatmal,maharashtra
ashti (jalna),bajri,2015,80.33333333333326,-71.66666666666674,jalna,maharashtra
ashti (jalna),bajri,2016,-19.333333333333258,-174.33333333333326,jalna,maharashtra
lakhani,paddy-unhusked,2014,921.0,-173.5,bhandara,maharashtra
lakhani,paddy-unhusked,2015,550.8,517.8,bhandara,maharashtra
lakhani,paddy-unhusked,2016,539.6666666666667,380.33333333333326,bhandara,maharashtra
vadgaon peth,shepu,2014,NO MSP,NO MSP,kolhapur,maharashtra
sangli-phale bhajipalam,bor,2015,NO MSP,NO MSP,sangli,maharashtra
sangli-phale bhajipalam,bor,2016,NO MSP,NO MSP,sangli,maharashtra
islampur,cabbage,2016,NO MSP,NO MSP,sangli,maharashtra
mumbai-fruit market,chikoo,2016,NO MSP,NO MSP,mumbai,maharashtra
ramtek,mosambi,2014,NO MSP,NO MSP,nagpur,maharashtra
ramtek,mosambi,2015,NO MSP,NO MSP,nagpur,maharashtra
dharmabad,green gram,2014,NO MSP,NO MSP,nanded,maharashtra
dharmabad,green gram,2015,NO MSP,NO MSP,nanded,maharashtra
aurad shahajani,safflower,2016,NO MSP,NO MSP,latur,maharashtra
ramtek,paddy-unhusked,2014,371.0,21.5,nagpur,maharashtra
ramtek,paddy-unhusked,2015,503.5999999999999,445.20000000000005,nagpur,maharashtra
ramtek,paddy-unhusked,2016,371.33333333333326,-7.6666666666667425,nagpur,maharashtra
kalyan,green gram,2015,NO MSP,NO MSP,thane,maharashtra
kalyan,green gram,2016,NO MSP,NO MSP,thane,maharashtra
umared,gram,2014,NO MSP,NO MSP,nagpur,maharashtra
umared,gram,2015,NO MSP,NO MSP,nagpur,maharashtra
umared,gram,2016,NO MSP,NO MSP,nagpur,maharashtra
solapur,grapes,2014,NO MSP,NO MSP,solapur,maharashtra
solapur,grapes,2015,NO MSP,NO MSP,solapur,maharashtra
solapur,grapes,2016,NO MSP,NO MSP,solapur,maharashtra
palus,cucumber,2016,NO MSP,NO MSP,sangli,maharashtra
barshi-vairag,other pulses,2014,NO MSP,NO MSP,solapur,maharashtra
hingoli,green gram,2014,NO MSP,NO MSP,hingoli,maharashtra
hingoli,green gram,2015,NO MSP,NO MSP,hingoli,maharashtra
hingoli,green gram,2016,NO MSP,NO MSP,hingoli,maharashtra
nagpur,chavli (shenga ),2014,NO MSP,NO MSP,nagpur,maharashtra
nagpur,chavli (shenga ),2015,NO MSP,NO MSP,nagpur,maharashtra
nagpur,chavli (shenga ),2016,NO MSP,NO MSP,nagpur,maharashtra
hingoli-kanegaon naka,green gram,2016,NO MSP,NO MSP,hingoli,maharashtra
pune-moshi,small gourd,2016,NO MSP,NO MSP,pune,maharashtra
aurangabad,gram,2014,NO MSP,NO MSP,aurangabad,maharashtra
osmanabad,mango,2015,NO MSP,NO MSP,osmanabad,maharashtra
osmanabad,mango,2016,NO MSP,NO MSP,osmanabad,maharashtra
aurangabad,orange,2014,NO MSP,NO MSP,aurangabad,maharashtra
aurangabad,orange,2015,NO MSP,NO MSP,aurangabad,maharashtra
aurangabad,orange,2016,NO MSP,NO MSP,aurangabad,maharashtra
karad,bor,2014,NO MSP,NO MSP,satara,maharashtra
karad,bor,2015,NO MSP,NO MSP,satara,maharashtra
karad,bor,2016,NO MSP,NO MSP,satara,maharashtra
shevgaon-bodhegaon,soybean,2016,NO MSP,NO MSP,ahmadnagar,maharashtra
ambad(vadi godri),bajri,2014,-22.5,-543.5,jalna,maharashtra
ambad(vadi godri),bajri,2015,-92.57142857142867,-111.85714285714289,jalna,maharashtra
ambad(vadi godri),bajri,2016,139.66666666666674,-52.111111111111086,jalna,maharashtra
pune-pimpri,cabbage,2014,NO MSP,NO MSP,pune,maharashtra
pune-pimpri,cabbage,2015,NO MSP,NO MSP,pune,maharashtra
pune-pimpri,cabbage,2016,NO MSP,NO MSP,pune,maharashtra
rahuri,bottle gourd,2016,NO MSP,NO MSP,ahmadnagar,maharashtra
karad,bitter gourd,2014,NO MSP,NO MSP,satara,maharashtra
karad,bitter gourd,2015,NO MSP,NO MSP,satara,maharashtra
karad,bitter gourd,2016,NO MSP,NO MSP,satara,maharashtra
manora,soybean,2014,NO MSP,NO MSP,wasim,maharashtra
manora,soybean,2015,NO MSP,NO MSP,wasim,maharashtra
manora,soybean,2016,NO MSP,NO MSP,wasim,maharashtra
koregaon,gram,2014,NO MSP,NO MSP,satara,maharashtra
koregaon,gram,2015,NO MSP,NO MSP,satara,maharashtra
koregaon,gram,2016,NO MSP,NO MSP,satara,maharashtra
malkapur,gram,2014,NO MSP,NO MSP,buldhana,maharashtra
malkapur,gram,2015,NO MSP,NO MSP,buldhana,maharashtra
malkapur,gram,2016,NO MSP,NO MSP,buldhana,maharashtra
shrirampur,pigeon pea (tur),2014,-913.3333333333335,-1852.0,ahmadnagar,maharashtra
shrirampur,pigeon pea (tur),2015,400.2222222222226,338.1111111111113,ahmadnagar,maharashtra
shrirampur,pigeon pea (tur),2016,1550.7142857142853,588.8571428571431,ahmadnagar,maharashtra
ramtek,orange,2015,NO MSP,NO MSP,nagpur,maharashtra
ramtek,orange,2016,NO MSP,NO MSP,nagpur,maharashtra
akhadabalapur,pigeon pea (tur),2014,-329.25,-1487.25,hingoli,maharashtra
