APMC,Commodity,year,Average Difference Raw,Average Difference Deseasonalised,district_name,state_name
gevrai,bajri,2014,-4.25,-405.25,beed,maharashtra
gevrai,bajri,2015,-15.909090909090992,-13.545454545454504,beed,maharashtra
shirur,maize,2014,-122.25,-493.0,pune,maharashtra
shirur,maize,2015,-43.58333333333326,-51.75,pune,maharashtra
latur,sunflower,2014,-1177.3333333333335,-1177.3333333333335,latur,maharashtra
latur,sunflower,2015,-492.0,-492.0,latur,maharashtra
latur,sunflower,2016,-542.5,-542.5,latur,maharashtra
purna,safflower,2015,-932.5,-932.5,parbhani,maharashtra
daryapur,sunflower,2014,-1200.0,-1200.0,amaravathi,maharashtra
daryapur,sunflower,2015,-932.0,-932.0,amaravathi,maharashtra
lakhandur,pigeon pea (tur),2015,1675.0,-1375.0,bhandara,maharashtra
sindkhed raja,wheat(husked),2015,15.0,-512.0,buldhana,maharashtra
raver-sawada,maize,2016,-156.0,-156.0,jalgaon,maharashtra
aheri,sorgum(jawar),2014,-412.5,-636.25,gadchiroli,maharashtra
aheri,sorgum(jawar),2015,-402.8571428571429,-379.1428571428571,gadchiroli,maharashtra
aheri,sorgum(jawar),2016,-216.75,-580.75,gadchiroli,maharashtra
nandurbar,wheat(husked),2014,-41.75,-569.5,nandurbar,maharashtra
nandurbar,wheat(husked),2015,-116.4545454545455,-139.81818181818176,nandurbar,maharashtra
chikhali,pigeon pea (tur),2014,-409.6666666666665,-1641.3333333333335,buldhana,maharashtra
sonpeth,safflower,2014,-666.6666666666665,-666.6666666666665,parbhani,maharashtra
lasalgaon,rice(paddy-hus),2014,192.0,-604.0,nasik,maharashtra
ghoti,paddy-unhusked,2014,790.0,-39.5,nasik,maharashtra
shrirampur-belapur,wheat(husked),2015,-172.5,-361.25,ahmadnagar,maharashtra
jalkot,wheat(husked),2014,-217.0,-217.0,latur,maharashtra
kundalwadi,sorgum(jawar),2015,-20.0,-20.0,nanded,maharashtra
jamkhed,wheat(husked),2014,460.0,-221.25,ahmadnagar,maharashtra
sillod,sorgum(jawar),2014,-150.0,-850.0,aurangabad,maharashtra
sillod,sorgum(jawar),2015,-451.5999999999999,-506.20000000000005,aurangabad,maharashtra
sillod,sorgum(jawar),2016,-396.7142857142858,-446.0,aurangabad,maharashtra
jalna-badnapur,cotton,2014,292.0,-398.0,jalna,maharashtra
jalna-badnapur,cotton,2016,460.66666666666697,-63.666666666666515,jalna,maharashtra
roha,paddy-unhusked,2014,-60.0,-504.5,raigad,maharashtra
roha,paddy-unhusked,2015,-70.08333333333326,-93.66666666666674,raigad,maharashtra
roha,paddy-unhusked,2016,-43.36363636363626,-262.27272727272725,raigad,maharashtra
shrirampur-belapur,maize,2015,-197.20000000000005,-197.20000000000005,ahmadnagar,maharashtra
shrirampur-belapur,maize,2016,-161.75,-161.75,ahmadnagar,maharashtra
sakri,maize,2014,-284.33333333333326,-600.6666666666666,dhule,maharashtra
sakri,maize,2015,-140.16666666666674,-174.33333333333326,dhule,maharashtra
sakri,maize,2016,-169.8888888888889,-209.44444444444434,dhule,maharashtra
pandharkawada,wheat(husked),2014,-287.0,-287.0,yewatmal,maharashtra
pandharkawada,wheat(husked),2015,-225.0,-225.0,yewatmal,maharashtra
malegaon (washim),sorgum(jawar),2014,-50.0,-800.0,wasim,maharashtra
malegaon (washim),sorgum(jawar),2015,-140.0,-127.5,wasim,maharashtra
malegaon (washim),sorgum(jawar),2016,-200.0,-212.5,wasim,maharashtra
wardha,pigeon pea (tur),2014,25.0,-632.25,wardha,maharashtra
kada (ashti),bajri,2015,-154.0,-154.0,beed,maharashtra
dharmabad,wheat(husked),2014,-30.0,-30.0,nanded,maharashtra
nagpur,sesamum,2016,-2700.0,-2700.0,nagpur,maharashtra
solapur,pigeon pea (tur),2014,292.0,-1097.25,solapur,maharashtra
yawal,sorgum(jawar),2014,-221.0,-221.0,jalgaon,maharashtra
yawal,sorgum(jawar),2015,-382.5,-382.5,jalgaon,maharashtra
yawal,sorgum(jawar),2016,-442.9000000000001,-442.9000000000001,jalgaon,maharashtra
hadgaon,sorgum(jawar),2015,-406.66666666666674,-406.66666666666674,nanded,maharashtra
ausa,wheat(husked),2014,-0.5,-434.5,latur,maharashtra
manora,wheat(husked),2014,-59.0,-321.75,wasim,maharashtra
manora,wheat(husked),2015,-44.57142857142867,-55.85714285714289,wasim,maharashtra
telhara,pigeon pea (tur),2014,-176.0,-1473.0,akola,maharashtra
indapur,rice(paddy-hus),2015,-267.42857142857133,-267.42857142857133,pune,maharashtra
indapur,rice(paddy-hus),2016,-213.0,-213.0,pune,maharashtra
babhulgaon,pigeon pea (tur),2014,326.0,-1901.0,yewatmal,maharashtra
ghansawangi,wheat(husked),2014,83.33333333333326,-50.33333333333326,jalna,maharashtra
sangrampur-varvatbakal,sorgum(jawar),2015,-548.3333333333333,-548.3333333333333,buldhana,maharashtra
sangrampur-varvatbakal,sorgum(jawar),2016,-454.4545454545455,-454.4545454545455,buldhana,maharashtra
telhara,cotton,2014,73.66666666666652,-673.0,akola,maharashtra
dhamangaon-rly,pigeon pea (tur),2014,133.25,-647.5,amaravathi,maharashtra
phaltan,maize,2014,-128.5,-566.25,satara,maharashtra
phaltan,maize,2015,-27.09090909090901,-66.5454545454545,satara,maharashtra
phaltan,maize,2016,86.0,-107.40000000000009,satara,maharashtra
sangamner,bajri,2014,82.25,-374.75,ahmadnagar,maharashtra
sangamner,bajri,2016,191.909090909091,-44.27272727272725,ahmadnagar,maharashtra
umarga,sorgum(jawar),2014,-176.33333333333326,-725.6666666666666,osmanabad,maharashtra
umarga,sorgum(jawar),2015,-87.27272727272725,-157.27272727272725,osmanabad,maharashtra
umarga,sorgum(jawar),2016,-73.90909090909099,-237.72727272727275,osmanabad,maharashtra
parbhani,cotton,2014,254.66666666666652,-755.3333333333335,parbhani,maharashtra
lasalgaon,sorgum(jawar),2015,4.4166666666667425,-17.75,nasik,maharashtra
lasalgaon,sorgum(jawar),2016,-337.5,-403.5999999999999,nasik,maharashtra
mangrulpeer,wheat(husked),2014,-179.75,-333.25,wasim,maharashtra
mangrulpeer,wheat(husked),2015,-298.63636363636374,-303.909090909091,wasim,maharashtra
murum,wheat(husked),2014,54.0,-121.0,osmanabad,maharashtra
dondaicha,wheat(husked),2014,-26.75,-392.0,dhule,maharashtra
dondaicha,wheat(husked),2015,-80.70000000000005,-78.70000000000005,dhule,maharashtra
vaijapur,pigeon pea (tur),2014,-1018.75,-1820.75,aurangabad,maharashtra
nandurbar,safflower,2015,-786.5,-786.5,nandurbar,maharashtra
sinner,sorgum(jawar),2014,17.5,-180.0,nasik,maharashtra
sinner,sorgum(jawar),2015,-320.75,-318.25,nasik,maharashtra
sinner,sorgum(jawar),2016,-267.29999999999995,-260.29999999999995,nasik,maharashtra
jalna,cotton,2014,-2.0,-2.0,jalna,maharashtra
kurdwadi,sorgum(jawar),2014,-334.5,-731.75,solapur,maharashtra
kurdwadi,sorgum(jawar),2015,-299.36363636363626,-328.18181818181824,solapur,maharashtra
kurdwadi,sorgum(jawar),2016,-13.272727272727252,-137.4545454545455,solapur,maharashtra
shirur,safflower,2015,-800.0,-800.0,pune,maharashtra
sonpeth,wheat(husked),2014,97.75,-204.0,parbhani,maharashtra
nira-saswad,wheat(husked),2015,64.0,-199.66666666666674,pune,maharashtra
chalisgaon,sunflower,2014,-983.0,-2367.0,jalgaon,maharashtra
chalisgaon,sunflower,2015,-1006.4000000000001,-987.8000000000002,jalgaon,maharashtra
chalisgaon,sunflower,2016,-1020.0,-1146.0,jalgaon,maharashtra
yeotmal,cotton,2014,56.333333333333485,-1206.3333333333335,yewatmal,maharashtra
yeotmal,cotton,2016,547.0,-227.0,yewatmal,maharashtra
latur,safflower,2014,-629.3333333333335,-1416.3333333333333,latur,maharashtra
latur,safflower,2015,-739.5,-760.3333333333335,latur,maharashtra
chamorshi,paddy-unhusked,2014,395.5,-356.0,gadchiroli,maharashtra
pathari,sorgum(jawar),2016,-37.625,-51.5,parbhani,maharashtra
jalgaon,pigeon pea (tur),2014,-650.0,-1200.0,jalgaon,maharashtra
murtizapur,sunflower,2014,-1101.0,-1101.0,akola,maharashtra
murtizapur,sunflower,2015,-899.0,-899.0,akola,maharashtra
dhule,pigeon pea (tur),2014,-679.3333333333335,-1951.3333333333335,dhule,maharashtra
pusad,sorgum(jawar),2014,-253.66666666666674,-745.0,yewatmal,maharashtra
pusad,sorgum(jawar),2015,-380.4000000000001,-394.0999999999999,yewatmal,maharashtra
pusad,sorgum(jawar),2016,-253.5454545454545,-360.909090909091,yewatmal,maharashtra
bhokardan-pimpalgaon renu,bajri,2015,-3.6666666666667425,-3.6666666666667425,jalna,maharashtra
manmad,maize,2014,-227.0,-382.25,nasik,maharashtra
manmad,maize,2015,-48.75,-54.58333333333326,nasik,maharashtra
murum,safflower,2014,-500.0,-500.0,osmanabad,maharashtra
jalna,wheat(husked),2014,4.6666666666667425,-506.0,jalna,maharashtra
mahur,cotton,2014,-50.666666666666515,-50.666666666666515,nanded,maharashtra
mangrulpeer,safflower,2015,-1500.0,-1500.0,wasim,maharashtra
ashti-karanja,wheat(husked),2015,-90.25,-360.25,wardha,maharashtra
rahuri-songaon,bajri,2016,-31.333333333333258,-31.333333333333258,ahmadnagar,maharashtra
navapur,paddy-unhusked,2014,-160.0,-760.0,nandurbar,maharashtra
navapur,paddy-unhusked,2015,-65.5,-147.0,nandurbar,maharashtra
navapur,paddy-unhusked,2016,-214.33333333333326,-198.8888888888889,nandurbar,maharashtra
jalgaon,sorgum(jawar),2014,-183.75,-676.0,jalgaon,maharashtra
jalgaon,sorgum(jawar),2015,-302.08333333333326,-283.75,jalgaon,maharashtra
jalgaon,sorgum(jawar),2016,19.09999999999991,-300.5,jalgaon,maharashtra
indapur (nimgaon ketki),wheat(husked),2015,-124.40000000000009,-124.40000000000009,pune,maharashtra
gevrai,mustard,2015,108.125,-282.875,beed,maharashtra
majalgaon,pigeon pea (tur),2014,-359.75,-1647.75,beed,maharashtra
rahuri,sorgum(jawar),2014,-42.66666666666674,-283.33333333333326,ahmadnagar,maharashtra
indapur,maize,2014,-212.0,-505.5,pune,maharashtra
indapur,maize,2016,68.20000000000005,-5.599999999999909,pune,maharashtra
umarga,paddy-unhusked,2014,-506.66666666666663,-506.66666666666663,osmanabad,maharashtra
umarga,paddy-unhusked,2015,-306.66666666666674,-306.66666666666674,osmanabad,maharashtra
umari,sorgum(jawar),2015,-107.0,-107.0,nanded,maharashtra
umari,sorgum(jawar),2016,-356.33333333333326,-356.33333333333326,nanded,maharashtra
manwat,sorgum(jawar),2015,-303.20000000000005,-303.20000000000005,parbhani,maharashtra
khamgaon,wheat(husked),2014,-133.5,-544.0,buldhana,maharashtra
khamgaon,wheat(husked),2015,-105.40000000000009,-120.59999999999991,buldhana,maharashtra
shegaon,maize,2014,-320.0,-559.0,buldhana,maharashtra
shegaon,maize,2015,-275.58333333333326,-283.66666666666674,buldhana,maharashtra
shegaon,maize,2016,-156.5,-149.375,buldhana,maharashtra
manora,pigeon pea (tur),2014,226.75,-1304.0,wasim,maharashtra
balapur,sunflower,2016,-475.0,-475.0,akola,maharashtra
yeola,pigeon pea (tur),2014,-249.0,-249.0,nasik,maharashtra
bhivandi,wheat(husked),2014,-24.25,-473.25,thane,maharashtra
kille dharur,cotton,2014,217.0,-1569.0,beed,maharashtra
kille dharur,cotton,2016,483.42857142857156,-43.57142857142844,beed,maharashtra
ahmednagar,maize,2014,144.0,-671.0,ahmadnagar,maharashtra
ahmednagar,maize,2015,53.40000000000009,-68.29999999999995,ahmadnagar,maharashtra
mehkar,pigeon pea (tur),2014,-377.0,-1892.5,buldhana,maharashtra
sangrampur,pigeon pea (tur),2014,-239.0,-1099.0,buldhana,maharashtra
sangrampur,pigeon pea (tur),2015,-226.60000000000036,-173.89999999999964,buldhana,maharashtra
akkalkuwa,maize,2015,-97.0,-97.0,nandurbar,maharashtra
akkalkuwa,maize,2016,-2.6666666666667425,-2.6666666666667425,nandurbar,maharashtra
kurdwadi,sunflower,2015,-608.0,-608.0,solapur,maharashtra
kurdwadi,sunflower,2016,-935.5,-935.5,solapur,maharashtra
