APMC,Commodity,arrivals_in_qtl Seasonality Type,min_price Seasonality Type,max_price Seasonality Type,modal_price Seasonality Type,district_name,state_name
kalamnuri,ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,hingoli,maharashtra
latur,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
islampur,soybean,not enough data,not enough data,not enough data,not enough data,sangli,maharashtra
shirur,coriander (dry),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
rahata,potato,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
nagpur,ground nut pods (dry),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
karad,coriander  ,not enough data,not enough data,not enough data,not enough data,satara,maharashtra
lasur station,green gram,multiplicative,not enough data,not enough data,not enough data,aurangabad,maharashtra
tuljapur,maize,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
parbhani,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
varud-rajura bazar,maize,not enough data,multiplicative,not enough data,not enough data,amaravathi,maharashtra
manchar,raddish,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
barshi,onion,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
kannad,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
phaltan,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
umarga,wheat(unhusked),multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
phaltan,bitter gourd,not enough data,not enough data,not enough data,not enough data,satara,maharashtra
patan,flower,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
solapur,bitter gourd,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
digras,bajri,not enough data,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
karad,sweet potato,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
aarni,wheat(husked),not enough data,not enough data,not enough data,not enough data,yewatmal,maharashtra
kinwat,cotton,multiplicative,multiplicative,multiplicative,multiplicative,nanded,maharashtra
jalkot,wheat(husked),not enough data,not enough data,not enough data,not enough data,latur,maharashtra
ramtek,kharbuj,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
barshi,neem-seed,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
amarawati,awala,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
hingoli-kanegaon naka,wheat(husked),not enough data,not enough data,not enough data,not enough data,hingoli,maharashtra
karad,math (bhaji),not enough data,not enough data,not enough data,not enough data,satara,maharashtra
khed (shel pimpalgaon),cucumber,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
bori arab,ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,yewatmal,maharashtra
jalkot,sunflower,not enough data,not enough data,not enough data,not enough data,latur,maharashtra
kada,sesamum,not enough data,not enough data,not enough data,not enough data,beed,maharashtra
mauda,coriander (dry),not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
mumbai,ginger (dry),multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
osmanabad,jambhul,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
taloda,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
achalpur,ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
gangapur,gram,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
patan,cluster bean,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
soygaon,cotton,multiplicative,not enough data,not enough data,not enough data,aurangabad,maharashtra
jawala-bajar,sorgum(jawar),not enough data,not enough data,not enough data,not enough data,hingoli,maharashtra
khamgaon,thymol/lovage,not enough data,not enough data,not enough data,not enough data,buldhana,maharashtra
ahmednagar,maize,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
manwat,safflower,not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
khultabad,cotton,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
khed (shel pimpalgaon),brinjal,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
ahmedpur,maize,multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
jalna,mosambi,multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
jalgaon jamod,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
nira,jaggery,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
sindkhed raja,neem-seed,not enough data,not enough data,not enough data,not enough data,buldhana,maharashtra
paranda,gram,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
pune-pimpri,rice(paddy-hus),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
mangalwedha,onion,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
washim,maize,not enough data,not enough data,not enough data,not enough data,wasim,maharashtra
bhokar,gram,multiplicative,multiplicative,multiplicative,multiplicative,nanded,maharashtra
jalgaon,green chilli,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
barshi,green chilli,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
dharni,wheat(husked),not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
dound,maize,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
murum,soybean,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
zarijamini,soybean,multiplicative,not enough data,multiplicative,multiplicative,yewatmal,maharashtra
sinner,gram,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
chandrapur-ganjwad,chavli (shenga ),not enough data,multiplicative,not enough data,not enough data,chandrapur,maharashtra
nagpur,rice(paddy-hus),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
kamthi,flower,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
tuljapur,wheat(husked),not enough data,not enough data,multiplicative,multiplicative,osmanabad,maharashtra
khamgaon,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
nagpur,flower,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
kada (ashti),soybean,not enough data,not enough data,not enough data,not enough data,beed,maharashtra
navapur,green gram,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
ramtek,green chilli,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
pune-moshi,snake gourd,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
ghansawangi,neem-seed,not enough data,not enough data,not enough data,not enough data,jalna,maharashtra
chandrapur-ganjwad,raddish,not enough data,not enough data,multiplicative,multiplicative,chandrapur,maharashtra
kolhapur-laxmipuri,green peas (dry),multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
akhadabalapur,green gram,not enough data,not enough data,not enough data,not enough data,hingoli,maharashtra
osmanabad,garlic,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
khed-chakan,cabbage,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
khed-chakan,cucumber,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
nampur,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
mumbai,cluster bean,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
karmala,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
khamgaon,he buffalo,not enough data,not enough data,not enough data,not enough data,buldhana,maharashtra
mumbai,small gourd,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
chopda,sunflower,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
varud-rajura bazar,gram,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
chandur bajar,soybean,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
rahuri,mosambi,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
malegaon (washim),green gram,not enough data,not enough data,not enough data,not enough data,wasim,maharashtra
atpadi,gram,not enough data,not enough data,not enough data,not enough data,sangli,maharashtra
vasai,sorgum(jawar),not enough data,not enough data,not enough data,not enough data,thane,maharashtra
varora,gram,multiplicative,not enough data,not enough data,not enough data,chandrapur,maharashtra
sangrampur,ground nut pods (dry),multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
wardha,gram,multiplicative,multiplicative,multiplicative,multiplicative,wardha,maharashtra
jalgaon-masawat,sorgum(jawar),not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
junnar (narayangaon),flower,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
akluj,water melon,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
kalyan,black gram,multiplicative,not enough data,not enough data,not enough data,thane,maharashtra
vai,turmeric,not enough data,not enough data,not enough data,not enough data,satara,maharashtra
bhivandi,potato,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
chandrapur-ganjwad,coriander  ,multiplicative,multiplicative,multiplicative,multiplicative,chandrapur,maharashtra
akola,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,akola,maharashtra
pune-moshi,squash gourd,multiplicative,not enough data,not enough data,not enough data,pune,maharashtra
akluj,buffalo,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
sangli-phale bhajipalam,mosambi,multiplicative,multiplicative,multiplicative,multiplicative,sangli,maharashtra
junnar-otur,chavli (shenga ),not enough data,multiplicative,multiplicative,multiplicative,pune,maharashtra
amarawati,apple,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
malegaon,maize,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
jalgaon jamod-aasalgaon,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
osmanabad,bor,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
pachora,other cereals,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
malegaon,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
akluj,shepu,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
junnar (bhlhe),goats,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
murbad,bottle gourd,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
nagpur,banana,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
sangamner,bajri,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
satana,soybean,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
shrirampur,wal papdi,not enough data,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
kolhapur,jaggery,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
arjuni morgaon,paddy-unhusked,multiplicative,multiplicative,multiplicative,multiplicative,gondiya,maharashtra
pune-manjri,cabbage,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
varud,mosambi,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
mumbai,split lentil,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
amarawati,dhemse,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
nampur,sunflower,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
lakhandur,gram,not enough data,not enough data,not enough data,not enough data,bhandara,maharashtra
rahuri,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
vai,french bean,not enough data,not enough data,not enough data,not enough data,satara,maharashtra
morshi,chillies(red),multiplicative,not enough data,not enough data,not enough data,amaravathi,maharashtra
pune-manjri,walvad,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
mumbai,chikoo,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
devri,paddy-unhusked,not enough data,not enough data,not enough data,not enough data,gondiya,maharashtra
digras,green gram,multiplicative,not enough data,not enough data,not enough data,yewatmal,maharashtra
aheri,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,gadchiroli,maharashtra
amarawati,naspatti ,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
ahmednagar,orange,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
chimur,soybean,not enough data,multiplicative,multiplicative,multiplicative,chandrapur,maharashtra
amalner,green gram,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
ramtek,linseed,not enough data,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
khed-chakan,chavli (shenga ),multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
chalisgaon,ginger (fresh),not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
sangali,jaggery,multiplicative,multiplicative,multiplicative,multiplicative,sangli,maharashtra
kalmeshwar,raddish,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
ramtek,coriander (dry),not enough data,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
mukhed,sorgum(jawar),multiplicative,not enough data,multiplicative,multiplicative,nanded,maharashtra
jintur,jaggery,not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
pathardi,gram,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
manchar,garlic,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
tumsar,jaggery,multiplicative,multiplicative,multiplicative,multiplicative,bhandara,maharashtra
mantha,gram,multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
amalner,cotton,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
umarkhed,sorgum(jawar),multiplicative,multiplicative,not enough data,not enough data,yewatmal,maharashtra
kolhapur,raddish,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
barshi,bottle gourd,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
shirur,bajri,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
shrirampur,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
jamkhed,gram,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
chandrapur,onion,multiplicative,not enough data,not enough data,not enough data,chandrapur,maharashtra
gevrai,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
nandurbar,horse gram,not enough data,multiplicative,multiplicative,multiplicative,nandurbar,maharashtra
chalisgaon,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
mudkhed,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,nanded,maharashtra
sangrampur-varvatbakal,banana,not enough data,not enough data,not enough data,not enough data,buldhana,maharashtra
nagpur,custard apple,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
jawala-bajar,green gram,not enough data,not enough data,not enough data,not enough data,hingoli,maharashtra
ahmednagar,green chilli,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
palus,bitter gourd,not enough data,not enough data,not enough data,not enough data,sangli,maharashtra
yeotmal,sesamum,not enough data,not enough data,not enough data,not enough data,yewatmal,maharashtra
indapur-bhigwan,black gram,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
dhamangaon-rly,black gram,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
ahmedpur,paddy-unhusked,additive,not enough data,multiplicative,multiplicative,latur,maharashtra
pune,carrot,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
pune-manjri,other vegetables,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
nanded,gram,multiplicative,multiplicative,multiplicative,multiplicative,nanded,maharashtra
jalgaon jamod,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
indapur-bhigwan,ground nut pods (dry),multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
jalgaon-masawat,bajri,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
kopargaon,maize,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
vai,shevga,not enough data,not enough data,not enough data,not enough data,satara,maharashtra
vaijapur,cowpea,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
varud-rajura bazar,orange,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
